0;AAA;Anaa Airport;Anaa, Tuamotus, French Polynesia
1;AAB;Arrabury Airport;Arrabury, Queensland, Australia
2;AAC;El Arish International Airport;El Arish, Egypt
3;AAE;Rabah Bitat Airport (Les Salines Airport);Annaba, Algeria
4;AAF;Apalachicola Regional Airport;Apalachicola, Florida, United States
5;AAG;Arapoti Airport;Arapoti, Paraná, Brazil
6;AAH;Merzbrück Airport;Aachen, North Rhine-Westphalia, Germany
7;AAI;Arraias Airport;Arraias, Tocantins, Brazil
8;AAJ;Cayana Airstrip;Awaradam, Suriname
9;AAK;Aranuka Airport;Aranuka, Kiribati
10;AAL;Aalborg Airport;Aalborg, Denmark
11;AAM;Mala Mala Airport;Mala Mala, South Africa
12;AAN;Al Ain International Airport;Al Ain, United Arab Emirates
13;AAO;Anaco Airport;Anaco, Venezuela
14;AAQ;Anapa Airport;Anapa, Krasnodar Krai, Russia
15;AAR;Aarhus Airport;Aarhus, Denmark
16;AAS;Apalapsili Airport;Apalapsili, Indonesia
17;AAT;Altay Airport;Altay, Xinjiang, China
18;AAU;Asau Airport;Asau, Savai'i Island, Samoa
19;AAV;Allah Valley Airport;Surallah, Philippines
20;AAX;Araxá Airport;Araxá, Minas Gerais, Brazil
21;AAY;Al Ghaydah Airport;Al Ghaydah, Yemen
22;AAZ;Quetzaltenango Airport;Quetzaltenango, Guatemala
23;ABA;Abakan International Airport;Abakan, Republic of Khakassia, Russia
24;ABB;Asaba International Airport;Asaba, Nigeria
25;ABC;Albacete Airport;Albacete, Castilla-La Mancha, Spain
26;ABD;Abadan International Airport;Abadan, Iran
27;ABE;Lehigh Valley International Airport;Allentown, Pennsylvania, United States
28;ABF;Abaiang Atoll Airport;Abaiang, Kiribati
29;ABG;Abingdon Airport;Abingdon, Queensland, Australia
30;ABH;Alpha Airport;Alpha, Queensland, Australia
31;ABI;Abilene Regional Airport;Abilene, Texas, United States
32;ABJ;Port Bouet Airport (Felix Houphouet Boigny Int'l);Abidjan, Côte d'Ivoire
33;ABK;Kabri Dar Airport;Kebri Dahar, Ethiopia
34;ABL;Ambler Airport (FAA: AFM);Ambler, Alaska, United States
35;ABM;Northern Peninsula Airport;Bamaga, Queensland, Australia
36;ABN;Albina Airstrip;Albina, Suriname
37;ABO;Aboisso Airport;Aboisso, Côte d'Ivoire
38;ABP;Atkamba Airport;Atkamba, Papua New Guinea
39;ABQ;Albuquerque International Sunport;Albuquerque, New Mexico, United States
40;ABR;Aberdeen Regional Airport;Aberdeen, South Dakota, United States
41;ABS;Abu Simbel Airport;Abu Simbel, Egypt
42;ABT;Al-Baha Domestic Airport;Al-Baha, Saudi Arabia
43;ABU;Haliwen Airport;Atambua, Indonesia
44;ABV;Nnamdi Azikiwe International Airport;Abuja, Nigeria
45;ABW;Abau Airport;Abau, Papua New Guinea
46;ABX;Albury Airport;Albury, New South Wales, Australia
47;ABY;Southwest Georgia Regional Airport;Albany, Georgia, United States
48;ABZ;Aberdeen Airport;Aberdeen, Scotland, United Kingdom
49;ACA;General Juan N. Álvarez International Airport;Acapulco, Guerrero, Mexico
50;ACB;Antrim County Airport;Bellaire, Michigan, United States
51;ACC;Kotoka International Airport;Accra, Ghana
52;ACD;Alcides Fernández Airport;Acandí, Colombia
53;ACE;Lanzarote Airport;Lanzarote, Canary Islands, Spain
54;ACH;St. Gallen–Altenrhein Airport;Altenrhein, Switzerland
55;ACI;Alderney Airport;Alderney, Channel Islands, United Kingdom
56;ACJ;Anuradhapura Airport;Anuradhapura, Sri Lanka
57;ACK;Nantucket Memorial Airport;Nantucket, Massachusetts, United States
58;ACL;Aguaclara Airport;Aguaclara, Colombia
59;ACM;Arica Airport;Arica, Colombia
60;ACN;Ciudad Acu?a International Airport;Ciudad Acu?a, Coahuila, Mexico
61;ACP;Sahand Airport;Maragheh, Iran
62;ACR;Araracuara Airport;Araracuara, Colombia
63;ACS;Achinsk Airport;Achinsk, Krasnoyarsk Krai, Russia
64;ACT;Waco Regional Airport;Waco, Texas, United States
65;ACU;Achutupo Airport;Achutupo, Panama
66;ACV;Arcata-Eureka Airport;Eureka / Arcata, California, United States
67;ACX;Xingyi Wanfenglin Airport;Xingyi, Guizhou, China
68;ACY;Atlantic City International Airport;Atlantic City, New Jersey, United States
69;ACZ;Zabol Airport;Zabol, Iran
70;ADA;Adana ªakirpaºa Airport;Adana, Turkey
71;ADB;Adnan Menderes Airport;?zmir, Turkey
72;ADC;Andakombe Airport;Andakombe, Papua New Guinea
73;ADD;Bole International Airport;Addis Ababa, Ethiopia
74;ADE;Aden International Airport;Aden, Yemen
75;ADF;Ad?yaman Airport;Ad?yaman, Turkey
76;ADG;Lenawee County Airport;Adrian, Michigan, United States
77;ADH;Aldan Airport;Aldan, Yakutia, Russia
78;ADI;Arandis Airport;Arandis, Namibia
79;ADJ;Amman Civil Airport (Marka International Airport);Amman, Jordan
80;ADK;Adak Airport;Adak Island, Alaska, United States
81;ADL;Adelaide Airport;Adelaide, South Australia, Australia
82;ADM;Ardmore Municipal Airport;Ardmore, Oklahoma, United States
83;ADN;Andes Airport;Andes, Colombia
84;ADO;Andamooka Airport;Andamooka, South Australia, Australia
85;ADP;Ampara Airport;Ampara, Sri Lanka
